,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
45,0 days 00:21:42.536000,BOR,5,0 days 00:01:21.782000,4.0,1.0,,,28.308,18.414,35.06,0 days 00:20:49.062000,0 days 00:21:07.476000,0 days 00:21:42.536000,273.0,312.0,297.0,312.0,True,MEDIUM,4.0,True,Kick Sauber,0 days 00:20:20.754000,2025-03-14 01:35:48.763,1,,False,,False,True,81.782,81.78200000000001
46,0 days 00:31:28.976000,BOR,5,,5.0,1.0,,0 days 00:23:33.670000,40.372,24.823,,0 days 00:22:23.094000,0 days 00:22:47.936000,,193.0,205.0,,225.0,False,MEDIUM,5.0,True,Kick Sauber,0 days 00:21:42.536000,2025-03-14 01:37:10.545,1,,False,,False,False,,
47,0 days 00:39:22.370000,BOR,5,,6.0,2.0,0 days 00:31:28.976000,0 days 00:33:23.915000,42.643,25.204,,0 days 00:32:09.789000,0 days 00:32:35.132000,,208.0,195.0,,171.0,False,MEDIUM,6.0,False,Kick Sauber,0 days 00:31:28.976000,2025-03-14 01:46:56.985,15,,False,,False,False,,
48,0 days 00:41:48.050000,BOR,5,0 days 00:02:25.680000,7.0,3.0,0 days 00:39:54.434000,,79.77,20.186,45.724,0 days 00:40:42.140000,0 days 00:41:02.326000,0 days 00:41:48.050000,245.0,296.0,295.0,90.0,False,MEDIUM,7.0,False,Kick Sauber,0 days 00:39:54.434000,2025-03-14 01:55:22.443,1,,False,,False,False,145.68,145.67999999999998
49,0 days 00:43:08.807000,BOR,5,0 days 00:01:20.757000,8.0,3.0,,,27.866,18.388,34.503,0 days 00:42:15.916000,0 days 00:42:34.304000,0 days 00:43:08.807000,276.0,310.0,298.0,313.0,True,MEDIUM,8.0,False,Kick Sauber,0 days 00:41:48.050000,2025-03-14 01:57:16.059,1,,False,,False,True,80.757,80.757
50,0 days 00:45:20.526000,BOR,5,0 days 00:02:11.719000,9.0,3.0,,,41.731,35.482,54.506,0 days 00:43:50.538000,0 days 00:44:26.020000,0 days 00:45:20.526000,127.0,170.0,296.0,234.0,False,MEDIUM,9.0,False,Kick Sauber,0 days 00:43:08.807000,2025-03-14 01:58:36.816,12,,False,,False,True,131.719,131.719
51,0 days 00:46:40.202000,BOR,5,0 days 00:01:19.676000,10.0,3.0,,,27.647,18.192,33.837,0 days 00:45:48.173000,0 days 00:46:06.365000,0 days 00:46:40.202000,278.0,312.0,296.0,314.0,True,MEDIUM,10.0,False,Kick Sauber,0 days 00:45:20.526000,2025-03-14 02:00:48.535,1,,False,,False,True,79.676,79.676
52,0 days 00:49:05.061000,BOR,5,0 days 00:02:24.859000,11.0,3.0,,,47.243,42.359,55.257,0 days 00:47:27.445000,0 days 00:48:09.804000,0 days 00:49:05.061000,112.0,123.0,297.0,239.0,False,MEDIUM,11.0,False,Kick Sauber,0 days 00:46:40.202000,2025-03-14 02:02:08.211,1,,False,,False,True,144.859,144.859
53,0 days 00:50:24.458000,BOR,5,0 days 00:01:19.397000,12.0,3.0,,,27.429,18.123,33.845,0 days 00:49:32.490000,0 days 00:49:50.613000,0 days 00:50:24.458000,278.0,312.0,300.0,313.0,True,MEDIUM,12.0,False,Kick Sauber,0 days 00:49:05.061000,2025-03-14 02:04:33.070,1,,False,,False,True,79.397,79.39699999999999
54,0 days 01:03:41.062000,BOR,5,,13.0,3.0,,0 days 00:51:57.725000,33.082,20.995,,0 days 00:50:57.797000,0 days 00:51:18.667000,,250.0,270.0,,256.0,False,MEDIUM,13.0,False,Kick Sauber,0 days 00:50:24.458000,2025-03-14 02:05:52.467,15,,False,,False,False,,
